Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Adm,120,15,,52,28,19,,4
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Enr,98,14,,45,21,14,,3
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,App,306,24,1,85,74,85,,24
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Adm,183,8,,46,49,54,10,16
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Enr,130,5,,33,35,42,,8
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,App,114,14,,56,18,19,4,3
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Adm,75,7,,38,11,14,,3
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Enr,50,6,,26,7,8,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,App,91,4,2,64,5,14,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Adm,58,,,41,3,9,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Enr,39,,,28,,4,,
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,App,516,32,4,140,91,222,,9
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Adm,362,17,4,85,67,170,13,6
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Enr,262,13,4,58,49,123,,
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,App,49,27,,18,2,,2,
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,Adm,33,19,,11,,,,
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,Enr,17,8,,7,,,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,App,46,7,1,30,2,2,2,2
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Adm,23,3,,13,,,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Enr,10,,,6,,,,
LOS ANGELES VALLEY COLLEGE4401,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,App,5,,,4,,1,,
LOS ANGELES VALLEY COLLEGE4401,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Adm,4,,,3,,,,
