Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Adm,45,,,8,16,14,3,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Enr,10,,,3,4,,,
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,App,459,6,3,47,141,89,,163
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Adm,248,3,,22,68,41,,107
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Enr,84,,,3,21,11,,47
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,App,43,6,,17,10,9,,
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Adm,13,,,3,6,4,,
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Enr,5,,,,3,,,
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,App,223,7,,69,94,37,,9
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Adm,115,5,,36,48,15,4,7
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Enr,28,,,9,11,,,3
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,App,22,1,,13,,7,1,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Adm,12,,,7,,4,,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Enr,,,,,,,,
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,App,393,3,,45,33,275,,19
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Adm,231,3,,20,20,165,12,11
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Enr,38,,,3,4,24,,5
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,App,74,1,,12,45,9,,7
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Adm,35,,,,25,6,,
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Enr,4,,,,,,,
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,App,244,23,1,78,35,84,,15
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Adm,139,12,,44,19,50,,6
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Enr,86,6,,26,13,34,,4
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,App,39,1,,28,6,1,,3
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Adm,24,,,17,3,,,
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Enr,,,,,,,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,App,81,3,,73,1,3,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Adm,50,,,46,,,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Enr,29,,,26,,,,
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,App,736,15,5,70,284,189,23,150
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Adm,420,7,,34,155,112,,96
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Enr,89,,,5,33,19,,26
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,App,28,,1,6,8,9,,4
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Adm,16,,,4,4,7,,
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Enr,4,,,,,,,
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,App,88,10,1,9,37,10,3,18
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Adm,58,6,,6,25,7,,11
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Enr,13,,,,6,,,5
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,App,148,4,1,24,65,42,4,8
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Adm,70,,,12,33,19,,3
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Enr,17,,,,12,,,3
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,App,128,18,,58,27,19,4,2
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Adm,61,7,,25,12,13,,
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Enr,10,,,4,,3,,
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,App,120,12,1,47,38,16,2,4
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Adm,42,3,,13,18,8,,
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Enr,7,,,3,3,,,
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,App,47,3,1,26,3,8,,6
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Adm,21,,,13,,5,,3
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Enr,5,,,3,,,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,App,43,3,,23,5,11,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Adm,26,,,14,3,7,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Enr,9,,,4,,4,,
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,App,328,20,3,75,68,144,,6
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Adm,233,12,3,46,52,106,10,4
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Enr,38,,,10,11,12,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,App,52,3,,35,5,7,,1
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Adm,21,,,11,4,6,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Enr,7,,,5,,,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,App,169,11,,53,19,78,8,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Adm,98,,,29,10,53,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Enr,18,,,4,5,8,,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,App,81,11,1,35,15,16,3,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Adm,43,7,,17,7,8,,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Enr,9,,,5,,,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,App,15,,1,5,2,5,2,
