Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Adm,208,25,,103,36,33,7,4
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,Enr,154,17,,73,30,26,,
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,App,314,30,3,128,72,65,,9
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Adm,196,18,,81,42,42,,5
LOS ANGELES CITY COLLEGE4391,LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,Enr,144,18,,56,31,33,,3
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,App,126,10,1,77,12,17,1,8
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Adm,88,7,,54,4,14,,8
LOS ANGELES HARBOR COLLEGE4395,LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,Enr,52,3,,31,,9,,7
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,App,88,8,,52,7,19,,1
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Adm,64,4,,40,5,14,,
LOS ANGELES MISSION COLLEGE4404,LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,Enr,43,,,26,3,12,,
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,App,651,47,4,174,119,270,,14
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Adm,519,29,3,130,100,225,21,11
LOS ANGELES PIERCE COLLEGE4398,LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,Enr,392,24,3,97,75,166,,8
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,App,53,24,,21,5,1,,
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,Adm,34,15,,15,,,,
LOS ANGELES SOUTHWEST COLLEGE4409,LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,Enr,18,7,,9,,,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,App,111,10,2,78,7,10,,1
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Adm,74,5,,52,5,9,,
LOS ANGELES TRADE-TECH COLLEGE4400,LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,Enr,40,,,28,4,6,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,App,409,33,1,139,36,181,,6
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Adm,286,26,,92,26,129,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Enr,200,15,,63,18,97,,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,App,252,40,3,97,48,57,,1
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Adm,186,24,,77,34,43,5,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Enr,133,17,,55,27,30,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,App,34,1,2,11,5,11,4,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Adm,26,,,9,4,8,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Enr,17,,,5,4,6,,
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,App,225,13,,134,31,35,,3
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Adm,151,8,,90,21,22,,3
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Enr,116,7,,70,14,18,,
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,App,85,23,1,27,9,14,,5
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Adm,66,17,,21,8,10,,5
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Enr,47,12,,14,7,7,,3
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,App,631,21,4,189,92,266,,35
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Adm,519,15,3,150,78,218,,33
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Enr,396,7,,116,63,168,,23
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,App,142,4,,25,84,16,,5
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Adm,99,,,18,62,9,,5
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Enr,73,,,14,45,5,,4
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,App,214,8,1,98,32,67,,2
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Adm,153,7,,71,20,48,4,
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Enr,98,3,,43,16,32,,
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,App,145,13,6,46,26,47,,3
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Adm,117,10,5,34,22,40,,
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Enr,75,7,3,22,12,28,,
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,App,688,19,6,150,145,328,,16
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Adm,540,13,4,114,113,264,,15
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Enr,388,9,,82,86,188,,10
